"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"C-R5-U1-L2vsL5";"2022-06-17";"15:15:00";"V11";"7flkk";"C-R5";"Breiðablik 4";"KF 1";"1"
"C-R5-U2-L5vsL3";"2022-06-17";"15:45:00";"V12";"7flkk";"C-R5";"KF 1";"Valur 3";"1"
"C-R5-U3-L4vsL5";"2022-06-17";"16:15:00";"V12";"7flkk";"C-R5";"Fram 2";"KF 1";"1"
"C-R5-U5-L5vsL1";"2022-06-17";"17:15:00";"V11";"7flkk";"C-R5";"KF 1";"Afturelding 2";"1"
"G-R4-U2-L1vsL2";"2022-06-17";"13:15:00";"V5";"7flkk";"G-R4";"KF 2";"ÍA 8";"2"
"G-R4-U3-L3vsL1";"2022-06-17";"13:45:00";"V5";"7flkk";"G-R4";"VíkingurR 9";"KF 2";"2"
"G-R4-U4-L1vsL4";"2022-06-17";"14:15:00";"V6";"7flkk";"G-R4";"KF 2";"Afturelding 9";"2"
"G-R4-U5-L5vsL1";"2022-06-17";"14:45:00";"V5";"7flkk";"G-R4";"Fylkir 7";"KF 2";"2"
