"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"B-R4-U1-L2vsL5";"2022-06-17";"15:30:00";"V3";"7flkk";"B-R4";"Skallagrímur 1";"Haukar 1";"1"
"B-R4-U2-L1vsL2";"2022-06-17";"16:00:00";"V3";"7flkk";"B-R4";"Stjarnan 3";"Skallagrímur 1";"1"
"B-R4-U4-L2vsL3";"2022-06-17";"17:00:00";"V3";"7flkk";"B-R4";"Skallagrímur 1";"Tindastóll 1";"1"
"B-R4-U5-L4vsL2";"2022-06-17";"17:30:00";"V4";"7flkk";"B-R4";"KR 4";"Skallagrímur 1";"1"
"D-R4-U1-L2vsL5";"2022-06-17";"12:45:00";"V9";"7flkk";"D-R4";"Skallagrímur 2";"Þróttur R 5";"2"
"D-R4-U2-L1vsL2";"2022-06-17";"13:15:00";"V9";"7flkk";"D-R4";"Grindavík 3";"Skallagrímur 2";"2"
"D-R4-U4-L2vsL3";"2022-06-17";"14:15:00";"V9";"7flkk";"D-R4";"Skallagrímur 2";"Snæfellsnes 2";"2"
"D-R4-U5-L4vsL2";"2022-06-17";"14:45:00";"V10";"7flkk";"D-R4";"Fjölnir 4";"Skallagrímur 2";"2"
