"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"D-R2-U1-L3vsL4";"2022-06-17";"12:45:00";"V8";"7flkk";"D-R2";"Fylkir 4";"Vestri 1";"1"
"D-R2-U3-L4vsL5";"2022-06-17";"13:45:00";"V8";"7flkk";"D-R2";"Vestri 1";"Stjarnan 8";"1"
"D-R2-U4-L1vsL4";"2022-06-17";"14:15:00";"V8";"7flkk";"D-R2";"Fjölnir 5";"Vestri 1";"1"
"D-R2-U5-L4vsL2";"2022-06-17";"14:45:00";"V8";"7flkk";"D-R2";"Vestri 1";"Haukar 2";"1"
"F-R2-U1-L3vsL4";"2022-06-17";"15:30:00";"V14";"7flkk";"F-R2";"Vestri 2";"Njarðvík 5";"2"
"F-R2-U2-L5vsL3";"2022-06-17";"16:00:00";"V14";"7flkk";"F-R2";"Reynir/Víðir 2";"Vestri 2";"2"
"F-R2-U3-L3vsL1";"2022-06-17";"16:30:00";"V13";"7flkk";"F-R2";"Vestri 2";"KR 10";"2"
"F-R2-U4-L2vsL3";"2022-06-17";"17:00:00";"V13";"7flkk";"F-R2";"FH 5";"Vestri 2";"2"
