"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"C-R2-U1-L2vsL5";"2022-06-17";"15:30:00";"V7";"7flkk";"C-R2";"Stjarnan 7";"Reynir/Víðir 1";"1"
"C-R2-U2-L5vsL3";"2022-06-17";"16:00:00";"V8";"7flkk";"C-R2";"Reynir/Víðir 1";"FH 3";"1"
"C-R2-U3-L4vsL5";"2022-06-17";"16:30:00";"V8";"7flkk";"C-R2";"KA 3";"Reynir/Víðir 1";"1"
"C-R2-U5-L5vsL1";"2022-06-17";"17:30:00";"V7";"7flkk";"C-R2";"Reynir/Víðir 1";"Selfoss 2";"1"
"F-R2-U1-L2vsL5";"2022-06-17";"15:30:00";"V13";"7flkk";"F-R2";"FH 5";"Reynir/Víðir 2";"2"
"F-R2-U2-L5vsL3";"2022-06-17";"16:00:00";"V14";"7flkk";"F-R2";"Reynir/Víðir 2";"Vestri 2";"2"
"F-R2-U3-L4vsL5";"2022-06-17";"16:30:00";"V14";"7flkk";"F-R2";"Njarðvík 5";"Reynir/Víðir 2";"2"
"F-R2-U5-L5vsL1";"2022-06-17";"17:30:00";"V13";"7flkk";"F-R2";"Reynir/Víðir 2";"KR 10";"2"
