"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"B-R4-U1-L3vsL4";"2022-06-17";"15:30:00";"V4";"7flkk";"B-R4";"Tindastóll 1";"KR 4";"1"
"B-R4-U2-L5vsL3";"2022-06-17";"16:00:00";"V4";"7flkk";"B-R4";"Haukar 1";"Tindastóll 1";"1"
"B-R4-U3-L3vsL1";"2022-06-17";"16:30:00";"V3";"7flkk";"B-R4";"Tindastóll 1";"Stjarnan 3";"1"
"B-R4-U4-L2vsL3";"2022-06-17";"17:00:00";"V3";"7flkk";"B-R4";"Skallagrímur 1";"Tindastóll 1";"1"
"G-R3-U2-L1vsL2";"2022-06-17";"13:00:00";"V5";"7flkk";"G-R3";"Tindastóll 2";"Keflavík 7";"2"
"G-R3-U3-L3vsL1";"2022-06-17";"13:30:00";"V5";"7flkk";"G-R3";"Haukar 5";"Tindastóll 2";"2"
"G-R3-U4-L1vsL4";"2022-06-17";"14:00:00";"V6";"7flkk";"G-R3";"Tindastóll 2";"FH 8";"2"
"G-R3-U5-L5vsL1";"2022-06-17";"14:30:00";"V5";"7flkk";"G-R3";"Njarðvík 6";"Tindastóll 2";"2"
