"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"B-R3-U1-L2vsL5";"2022-06-17";"15:15:00";"V3";"7flkk";"B-R3";"Álftanes 1";"Njarðvík 1";"1"
"B-R3-U2-L1vsL2";"2022-06-17";"15:45:00";"V3";"7flkk";"B-R3";"FH 2";"Álftanes 1";"1"
"B-R3-U4-L2vsL3";"2022-06-17";"16:45:00";"V3";"7flkk";"B-R3";"Álftanes 1";"Stjarnan 4";"1"
"B-R3-U5-L4vsL2";"2022-06-17";"17:15:00";"V4";"7flkk";"B-R3";"Grótta 2";"Álftanes 1";"1"
"E-R1-U2-L1vsL2";"2022-06-17";"13:00:00";"V13";"7flkk";"E-R1";"Álftanes 2";"Valur 5";"2"
"E-R1-U3-L3vsL1";"2022-06-17";"13:30:00";"V13";"7flkk";"E-R1";"Þór Ak.";"Álftanes 2";"2"
"E-R1-U4-L1vsL4";"2022-06-17";"14:00:00";"V14";"7flkk";"E-R1";"Álftanes 2";"Fylkir 5";"2"
"E-R1-U5-L5vsL1";"2022-06-17";"14:30:00";"V13";"7flkk";"E-R1";"VíkingurR 5";"Álftanes 2";"2"
