"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"B-R6-U1-L3vsL4";"2022-06-17";"15:30:00";"V6";"7flkk";"B-R6";"KR 2";"UMFS Dalvík 1";"1"
"B-R6-U3-L4vsL5";"2022-06-17";"16:30:00";"V6";"7flkk";"B-R6";"UMFS Dalvík 1";"Fjölnir 2";"1"
"B-R6-U4-L1vsL4";"2022-06-17";"17:00:00";"V6";"7flkk";"B-R6";"ÍBV 2";"UMFS Dalvík 1";"1"
"B-R6-U5-L4vsL2";"2022-06-17";"17:30:00";"V6";"7flkk";"B-R6";"UMFS Dalvík 1";"Breiðablik 3";"1"
"E-R6-U1-L3vsL4";"2022-06-17";"12:45:00";"V18";"7flkk";"E-R6";"UMFS Dalvík 2";"Stjarnan 10";"2"
"E-R6-U2-L5vsL3";"2022-06-17";"13:15:00";"V18";"7flkk";"E-R6";"Keflavík 5";"UMFS Dalvík 2";"2"
"E-R6-U3-L3vsL1";"2022-06-17";"13:45:00";"V17";"7flkk";"E-R6";"UMFS Dalvík 2";"ÍA 5";"2"
"E-R6-U4-L2vsL3";"2022-06-17";"14:15:00";"V17";"7flkk";"E-R6";"Breiðablik 8";"UMFS Dalvík 2";"2"
